Accession,Release_Date,Species,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Geo_Location,Host,Isolation_Source,Collection_Date
YP_009725318,2020-03-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725296,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,43,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725300,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,500,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725311,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,298,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725310,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,346,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725307,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,932,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725305,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,113,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725306,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,139,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725301,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,306,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725298,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,638,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725295,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,4405,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725299,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,1945,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725312,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,13,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725309,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,527,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725308,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,601,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725304,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,198,RefSeq,,,,China,Homo sapiens,,2019-12
YP_009725302,2020-01-28T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,290,RefSeq,,,,China,Homo sapiens,,2019-12
